ID;MODELO;FORNECEDOR;ARM_DE_RECEBIMENTO;CODIGO;NIVEL;TRIAGEM_ESPECIAL;CONSUMO;ESTACAO;LADO;GRUPO_DE_ENVIO;CLASSIF;SUB_GRUPO_1;SUB_GRUPO_2;QUANT_MINIMA;QUANT_MAXIMA;QTD_ENVIO;LISTA_TRIAGEM;ETIQ_DESOVA;MODULO_FLOW_RACK;MODELO_CONCATENADO;QTY_KLT;FORNECEDOR_NAC;OBSERVACAO;ENTRADA;ALTERACAO;DESCRICAO;RECEITA;CLASSIF_1;PORTA;PTL;CODIGO_UNICO;USUARIO;QA_REPARO;SEQ_PBS;QTD_CASE;MODULO
1;AZERA;180 NAC;180 NAC;B05059C1008;999;;1;FAI;;SACI MIUDEZA;COMUM;999;F01C01N01;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;PADRÃO MINAS;;8082022;18092025;MASCARA DA ETIQUETA DE SEGURANCA;;;;;11;12864;;;;
2;AZERA;180 NAC;180 NAC;B05059G8000;;;1;PDI;;SACI MIUDEZA;COMUM;;F01C01N01;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;PADRÃO MINAS;;8082022;9112022;ETIQUETA DE SEGURANCA AZERA;;;;;21;12864;;;;
3;HD;CKD;RGLOG;1129308253;;;20;BODY SHOP;;OBSOLETO;OBSOLETO;OBSOLETO;OBSOLETO;0;0;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;8082022;9112022;PARAFUSO E ARRUELA M8X25;;;;;320;12864;;;;
4;HD;CKD;RGLOG;791305H000;;;2;BODY SHOP;;OBSOLETO;OBSOLETO;OBSOLETO;OBSOLETO;0;0;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;8082022;9112022;PARAFUSO FLANGEADO;;;;;42;12864;;;;
5;HD;CKD;RGLOG;791405H000;;;4;BODY SHOP;;OBSOLETO;OBSOLETO;OBSOLETO;OBSOLETO;0;0;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;8082022;9112022;PARAFUSO FLANGEADO;;;;;54;12864;;;;
6;HD;CKD;RGLOG;7153345000;;;1;BODY SHOP;;OBSOLETO;OBSOLETO;OBSOLETO;OBSOLETO;0;0;;09-(040)_BODY SHOP;09-(040)_BODY SHOP;;;;;;8082022;9112022;SUPORTE DE FIXACAO LATERAL DA CABINE;;;;;61;12864;;;;
7;HD;CKD;RGLOG;641005K006;;;1;BODY SHOP;;OBSOLETO;OBSOLETO;OBSOLETO;OBSOLETO;0;0;;09-(040)_BODY SHOP;09-(040)_BODY SHOP;;;;;;8082022;9112022;ASSOALHO DO PAINEL COMPLETO;;;;;71;12864;;;;
8;HD;CKD;RGLOG;641605H002;;;1;BODY SHOP;;OBSOLETO;OBSOLETO;OBSOLETO;OBSOLETO;0;0;;09-(040)_BODY SHOP;09-(040)_BODY SHOP;;;;;;8082022;9112022;PAINEL SOLEIRA TRAS LE;;;;;81;12864;;;;
9;HD;CKD;RGLOG;641705H002;;;1;BODY SHOP;;OBSOLETO;OBSOLETO;OBSOLETO;OBSOLETO;0;0;;09-(040)_BODY SHOP;09-(040)_BODY SHOP;;;;;;8082022;9112022;PAINEL SOLEIRA TRAS LD;;;;;91;12864;;;;
10;HD;CKD;RGLOG;641715K002;;;1;BODY SHOP;;OBSOLETO;OBSOLETO;OBSOLETO;OBSOLETO;0;0;;09-(040)_BODY SHOP;09-(040)_BODY SHOP;;;;;;8082022;16052023;PROTECAO FRONTAL PAINEL LE;;;;;101;12864;;;;
